num,nftype,ws,wd,slope,mc1,mc10,mc100,mcHerb,mcWoody,Load_1h,Load_10h,Load_100h,Load_Live_Herb,Load_Live_Woody,SA/V_1h,SA/V_Live_Herb,SA/V_Live_Woody,Fuel_Bed_Depth,Mx_dead,HROS,FROS,BROS
0,101,0,0,0,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,0.27,0.27,0.27
4,101,0,0,5,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,0.3,0.229810796,0.17604334
8,101,0,0,10,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,0.37,0.244534228,0.161613483
12,101,0,0,15,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,0.5,0.292305196,0.170884655
16,101,0,0,20,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,0.68,0.358071116,0.188551359
20,101,0,0,25,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,0.91,0.435383534,0.208306398
24,101,0,0,30,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,1.19,0.522188699,0.229143728
28,101,0,0,35,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,1.52,0.615004939,0.248836233
32,101,0,0,40,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,1.91,0.71652201,0.268797796
36,101,0,0,45,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,2.34,0.817522925,0.28561698
40,101,0,0,50,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,2.82,0.92090586,0.300733193
44,101,0,0,55,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,3.36,1.029902879,0.315684506
48,101,0,0,60,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,3.95,1.139335101,0.32862898
52,101,0,0,65,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,4.58,1.245932703,0.338940677
56,101,0,0,70,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,5.27,1.357164007,0.34950553
60,101,0,0,75,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,6.01,1.467543507,0.358350074
64,101,0,0,80,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,6.8,1.576760986,0.365614001
68,101,0,0,85,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,7.65,1.689205469,0.37299544
288,101,5,0,0,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,6.64,1.556258729,0.364750186
292,101,5,0,5,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,6.66,1.558544757,0.364723988
296,101,5,0,10,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,6.74,1.570022204,0.365722511
300,101,5,0,15,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,6.87,1.58695258,0.366582022
304,101,5,0,20,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,7.04,1.609152999,0.367808718
308,101,5,0,25,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,7.27,1.639626947,0.369790444
312,101,5,0,30,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,7.55,1.675585486,0.371865791
316,101,5,0,35,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,7.89,1.718666165,0.37437432
320,101,5,0,40,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,8.27,1.765109647,0.376736646
324,101,5,0,45,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,8.7,1.816542562,0.379290446
328,101,5,0,50,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,9.19,1.874402843,0.382305334
332,101,5,0,55,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,9.72,1.932719133,0.384300746
336,101,5,0,60,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,10.31,1.997416092,0.386971003
340,101,5,0,65,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,10.95,2.065908398,0.389769636
344,101,5,0,70,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,11.64,2.136417368,0.392120203
348,101,5,0,75,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,12.38,2.20844168,0.39395918
