Instance,datetime,WS,WD,Slope,mc1,mc10,mc100,mcherb,mcwoody
Sherpa,01/02/20 00:00:00AM,6,315,0,3,4,5,30,60
Sherpa,01/02/20 01:00:00AM,6,315,0,3,4,5,30,60
Sherpa,01/02/20 02:00:00AM,6,315,0,3,4,5,30,60
Sherpa,01/02/20 03:00:00AM,6,315,0,3,4,5,30,60
Sherpa,01/02/20 04:00:00AM,6,315,0,3,4,5,30,60
Sherpa,01/02/20 05:00:00AM,6,315,0,3,4,5,30,60
Sherpa,01/02/20 06:00:00AM,6,315,0,3,4,5,30,60
Sherpa,01/02/20 07:00:00AM,6,315,0,3,4,5,30,60
Sherpa,01/02/20 08:00:00AM,6,315,0,3,4,5,30,60
Sherpa,01/02/20 09:00:00AM,6,315,0,3,4,5,30,60
