,Instance,HFactor,BFactor,FFactor,EFactor,fperiod,ADI,ADI_ue,ADIoe,F1,RMSE,R2,norm,MSE,area_c2f,SSIM,area_farsite,time
0,0,0.9,0.5,0.5,0.5,1,1.2201834862385321,1.1926605504587156,0.027522935779816515,0.8096343893002604,0.06008662331976054,-0.1911214126232097,19.974984355438178,0.0036104023019707912,336,0.992958567629869,717,0.8300421237945557
1,1,0.9,0.5,0.5,0.5,2,1.3279742765273312,1.3054662379421222,0.022508038585209004,0.7995444255571504,0.061131686419532726,-0.3024900058009834,20.322401432901575,0.003737083084496082,318,0.9928308365341709,717,0.7423648834228516
2,2,0.9,0.5,0.5,0.6,1,0.747016706443914,0.711217183770883,0.03579952267303103,0.8633195155745139,0.05321860907777067,0.275958456690065,17.69180601295413,0.0028322203521725753,434,0.993722604901975,717,0.8845241069793701
3,3,0.9,0.5,0.5,0.6,2,0.8814432989690721,0.8479381443298969,0.03350515463917526,0.8462707097040593,0.05562940359689642,0.14402626927364348,18.49324200890693,0.0030946305445463925,401,0.9935390825260935,717,0.7750258445739746
4,4,0.9,0.5,0.5,0.7,1,0.4883268482490272,0.3949416342412451,0.0933852140077821,0.9013053598634289,0.047657165863404016,0.5510979685991735,15.84297951775486,0.002271205458132001,562,0.9943091399319094,717,0.9699530601501465
5,5,0.9,0.5,0.5,0.7,2,0.5009940357852882,0.4254473161033797,0.07554671968190854,0.8992676908283866,0.04775200608828111,0.5319044619135463,15.874507866387544,0.0022802540854552364,541,0.9943452241778771,717,0.8004658222198486
6,6,0.9,0.5,0.5,0.7999999999999999,1,0.3695652173913043,0.19899665551839466,0.1705685618729097,0.9215151862139557,0.044718526791867254,0.6822732204324714,14.866068747318506,0.0019997466384349496,700,0.9946168165110135,717,0.9748177528381348
7,7,0.9,0.5,0.5,0.7999999999999999,2,0.3955094991364421,0.23834196891191708,0.15716753022452504,0.9169264236905272,0.045520716789400735,0.6561241804523866,15.132745950421556,0.00207213565702083,670,0.9945631344783232,717,0.8270788192749023
8,8,0.9,0.5,0.5,0.8999999999999999,1,0.4486404833836858,0.08308157099697885,0.36555891238670696,0.9077130584391335,0.05184054701679772,0.6687505702034486,17.233687939614086,0.0026874423150008145,904,0.993749946511415,717,1.049447774887085
9,9,0.9,0.5,0.5,0.8999999999999999,2,0.3912337662337662,0.16396103896103897,0.22727272727272727,0.9176453241538697,0.046698171108723846,0.6790211914986417,15.524174696260024,0.0021807191848996505,756,0.9944347735304707,717,0.8297011852264404
10,10,0.9,0.5,0.6,0.5,1,1.2201834862385321,1.1926605504587156,0.027522935779816515,0.8096343893002604,0.06008662331976054,-0.1911214126232097,19.974984355438178,0.0036104023019707912,336,0.992958567629869,717,0.8300979137420654
11,11,0.9,0.5,0.6,0.5,2,1.3279742765273312,1.3054662379421222,0.022508038585209004,0.7995444255571504,0.061131686419532726,-0.3024900058009834,20.322401432901575,0.003737083084496082,318,0.9928308365341709,717,0.7420451641082764
12,12,0.9,0.5,0.6,0.6,1,0.747016706443914,0.711217183770883,0.03579952267303103,0.8633195155745139,0.05321860907777067,0.275958456690065,17.69180601295413,0.0028322203521725753,434,0.993722604901975,717,0.8819131851196289
13,13,0.9,0.5,0.6,0.6,2,0.8814432989690721,0.8479381443298969,0.03350515463917526,0.8462707097040593,0.05562940359689642,0.14402626927364348,18.49324200890693,0.0030946305445463925,401,0.9935390825260935,717,0.7652297019958496
14,14,0.9,0.5,0.6,0.7,1,0.4883268482490272,0.3949416342412451,0.0933852140077821,0.9013053598634289,0.047657165863404016,0.5510979685991735,15.84297951775486,0.002271205458132001,562,0.9943091399319094,717,0.9300298690795898
15,15,0.9,0.5,0.6,0.7,2,0.5009940357852882,0.4254473161033797,0.07554671968190854,0.8992676908283866,0.04775200608828111,0.5319044619135463,15.874507866387544,0.0022802540854552364,541,0.9943452241778771,717,0.8013272285461426
16,16,0.9,0.5,0.6,0.7999999999999999,1,0.3695652173913043,0.19899665551839466,0.1705685618729097,0.9215151862139557,0.044718526791867254,0.6822732204324714,14.866068747318506,0.0019997466384349496,700,0.9946168165110135,717,0.9797489643096924
17,17,0.9,0.5,0.6,0.7999999999999999,2,0.3955094991364421,0.23834196891191708,0.15716753022452504,0.9169264236905272,0.045520716789400735,0.6561241804523866,15.132745950421556,0.00207213565702083,670,0.9945631344783232,717,0.8213701248168945
18,18,0.9,0.5,0.6,0.8999999999999999,1,0.4486404833836858,0.08308157099697885,0.36555891238670696,0.9077130584391335,0.05184054701679772,0.6687505702034486,17.233687939614086,0.0026874423150008145,904,0.993749946511415,717,1.070591926574707
19,19,0.9,0.5,0.6,0.8999999999999999,2,0.3912337662337662,0.16396103896103897,0.22727272727272727,0.9176453241538697,0.046698171108723846,0.6790211914986417,15.524174696260024,0.0021807191848996505,756,0.9944347735304707,717,0.8587090969085693
20,20,0.9,0.5,0.7,0.5,1,1.2201834862385321,1.1926605504587156,0.027522935779816515,0.8096343893002604,0.06008662331976054,-0.1911214126232097,19.974984355438178,0.0036104023019707912,336,0.992958567629869,717,0.8319783210754395
21,21,0.9,0.5,0.7,0.5,2,1.3279742765273312,1.3054662379421222,0.022508038585209004,0.7995444255571504,0.061131686419532726,-0.3024900058009834,20.322401432901575,0.003737083084496082,318,0.9928308365341709,717,0.7452528476715088
22,22,0.9,0.5,0.7,0.6,1,0.747016706443914,0.711217183770883,0.03579952267303103,0.8633195155745139,0.05321860907777067,0.275958456690065,17.69180601295413,0.0028322203521725753,434,0.993722604901975,717,0.8799431324005127
23,23,0.9,0.5,0.7,0.6,2,0.8814432989690721,0.8479381443298969,0.03350515463917526,0.8462707097040593,0.05562940359689642,0.14402626927364348,18.49324200890693,0.0030946305445463925,401,0.9935390825260935,717,0.7651112079620361
24,24,0.9,0.5,0.7,0.7,1,0.4883268482490272,0.3949416342412451,0.0933852140077821,0.9013053598634289,0.047657165863404016,0.5510979685991735,15.84297951775486,0.002271205458132001,562,0.9943091399319094,717,0.939312219619751
25,25,0.9,0.5,0.7,0.7,2,0.5009940357852882,0.4254473161033797,0.07554671968190854,0.8992676908283866,0.04775200608828111,0.5319044619135463,15.874507866387544,0.0022802540854552364,541,0.9943452241778771,717,0.8005759716033936
26,26,0.9,0.5,0.7,0.7999999999999999,1,0.3695652173913043,0.19899665551839466,0.1705685618729097,0.9215151862139557,0.044718526791867254,0.6822732204324714,14.866068747318506,0.0019997466384349496,700,0.9946168165110135,717,0.9928610324859619
27,27,0.9,0.5,0.7,0.7999999999999999,2,0.3955094991364421,0.23834196891191708,0.15716753022452504,0.9169264236905272,0.045520716789400735,0.6561241804523866,15.132745950421556,0.00207213565702083,670,0.9945631344783232,717,0.827003002166748
28,28,0.9,0.5,0.7,0.8999999999999999,1,0.4486404833836858,0.08308157099697885,0.36555891238670696,0.9077130584391335,0.05184054701679772,0.6687505702034486,17.233687939614086,0.0026874423150008145,904,0.993749946511415,717,1.040140151977539
29,29,0.9,0.5,0.7,0.8999999999999999,2,0.3912337662337662,0.16396103896103897,0.22727272727272727,0.9176453241538697,0.046698171108723846,0.6790211914986417,15.524174696260024,0.0021807191848996505,756,0.9944347735304707,717,0.8408901691436768
30,30,0.9,0.5,0.7999999999999999,0.5,1,1.2201834862385321,1.1926605504587156,0.027522935779816515,0.8096343893002604,0.06008662331976054,-0.1911214126232097,19.974984355438178,0.0036104023019707912,336,0.992958567629869,717,0.8263039588928223
