,Instance,HFactor,BFactor,FFactor,EFactor,fperiod,ADI,ADI_ue,ADIoe,F1,norm,MSE,area_c2f,SSIM,area_farsite,time
0,0,0.9,0.5,0.5,0.5,1,1.62266500622665,1.613947696139477,0.008717310087173101,0.7730529746007007,36.09709129556009,0.01179036140217529,810,0.9818287568293039,2099,1.2619099617004395
1,1,0.9,0.5,0.5,0.5,2,1.8141711229946524,1.8061497326203209,0.008021390374331552,0.7590702723830958,36.837480912787726,0.012278987277629983,754,0.9814766616198443,2099,0.9460599422454834
2,2,0.9,0.5,0.5,0.6,1,0.7776845637583892,0.7609060402684564,0.016778523489932886,0.8578831704759742,30.44667469527666,0.008388077528638906,1212,0.9852041672789255,2099,1.3926889896392822
3,3,0.9,0.5,0.5,0.6,2,0.974766355140187,0.9616822429906542,0.013084112149532711,0.8337669506172287,32.29551052391029,0.009437718298134173,1084,0.9839425102692464,2099,1.061887264251709
4,4,0.9,0.5,0.5,0.7,1,0.41736876215165264,0.36033700583279327,0.057031756318859365,0.9121910862479978,25.37715508089904,0.005827315996163382,1631,0.9882996967124231,2099,1.5759730339050293
5,5,0.9,0.5,0.5,0.7,2,0.45515846257585973,0.41537424140256235,0.03978422117329737,0.9057531545111959,25.98076211353316,0.006107823443183669,1542,0.9877990704542527,2099,1.1177632808685303
6,6,0.9,0.5,0.5,0.7999999999999999,1,0.3394181403308614,0.19737592698231604,0.14204221334854536,0.9260852887754212,24.392621835300936,0.005383933257324864,2002,0.9883331545564733,2099,1.630944013595581
7,7,0.9,0.5,0.5,0.7999999999999999,2,0.35376532399299476,0.22533566841798014,0.1284296555750146,0.9234548513731655,24.61706725018234,0.005483468157880449,1933,0.9883426454836455,2099,1.1671478748321533
8,8,0.9,0.5,0.5,0.8999999999999999,1,0.3748064016520392,0.08363448631905007,0.29117191533298914,0.9194097243706312,26.94438717061496,0.006569303436668657,2501,0.9868808530458654,2099,1.8047101497650146
9,9,0.9,0.5,0.5,0.8999999999999999,2,0.338682899833979,0.16159380188157166,0.1770890979524073,0.9261796766037311,24.73863375370596,0.00553775992181986,2127,0.9880944719528694,2099,1.1993179321289062
10,10,0.9,0.5,0.6,0.5,1,1.62266500622665,1.613947696139477,0.008717310087173101,0.7730529746007007,36.09709129556009,0.01179036140217529,810,0.9818287568293039,2099,1.244311809539795
11,11,0.9,0.5,0.6,0.5,2,1.8141711229946524,1.8061497326203209,0.008021390374331552,0.7590702723830958,36.837480912787726,0.012278987277629983,754,0.9814766616198443,2099,0.9343528747558594
12,12,0.9,0.5,0.6,0.6,1,0.7776845637583892,0.7609060402684564,0.016778523489932886,0.8578831704759742,30.44667469527666,0.008388077528638906,1212,0.9852041672789255,2099,1.3851799964904785
13,13,0.9,0.5,0.6,0.6,2,0.974766355140187,0.9616822429906542,0.013084112149532711,0.8337669506172287,32.29551052391029,0.009437718298134173,1084,0.9839425102692464,2099,1.0108180046081543
14,14,0.9,0.5,0.6,0.7,1,0.41736876215165264,0.36033700583279327,0.057031756318859365,0.9121910862479978,25.37715508089904,0.005827315996163382,1631,0.9882996967124231,2099,1.5294251441955566
15,15,0.9,0.5,0.6,0.7,2,0.45515846257585973,0.41537424140256235,0.03978422117329737,0.9057531545111959,25.98076211353316,0.006107823443183669,1542,0.9877990704542527,2099,1.1069581508636475
16,16,0.9,0.5,0.6,0.7999999999999999,1,0.3394181403308614,0.19737592698231604,0.14204221334854536,0.9260852887754212,24.392621835300936,0.005383933257324864,2002,0.9883331545564733,2099,1.6538448333740234
17,17,0.9,0.5,0.6,0.7999999999999999,2,0.35376532399299476,0.22533566841798014,0.1284296555750146,0.9234548513731655,24.61706725018234,0.005483468157880449,1933,0.9883426454836455,2099,1.172438144683838
18,18,0.9,0.5,0.6,0.8999999999999999,1,0.3748064016520392,0.08363448631905007,0.29117191533298914,0.9194097243706312,26.94438717061496,0.006569303436668657,2501,0.9868808530458654,2099,1.7804627418518066
19,19,0.9,0.5,0.6,0.8999999999999999,2,0.338682899833979,0.16159380188157166,0.1770890979524073,0.9261796766037311,24.73863375370596,0.00553775992181986,2127,0.9880944719528694,2099,1.1984632015228271
20,20,0.9,0.5,0.7,0.5,1,1.62266500622665,1.613947696139477,0.008717310087173101,0.7730529746007007,36.09709129556009,0.01179036140217529,810,0.9818287568293039,2099,1.2386479377746582
21,21,0.9,0.5,0.7,0.5,2,1.8141711229946524,1.8061497326203209,0.008021390374331552,0.7590702723830958,36.837480912787726,0.012278987277629983,754,0.9814766616198443,2099,0.9383401870727539
22,22,0.9,0.5,0.7,0.6,1,0.7776845637583892,0.7609060402684564,0.016778523489932886,0.8578831704759742,30.44667469527666,0.008388077528638906,1212,0.9852041672789255,2099,1.3922498226165771
23,23,0.9,0.5,0.7,0.6,2,0.974766355140187,0.9616822429906542,0.013084112149532711,0.8337669506172287,32.29551052391029,0.009437718298134173,1084,0.9839425102692464,2099,1.0159449577331543
24,24,0.9,0.5,0.7,0.7,1,0.41736876215165264,0.36033700583279327,0.057031756318859365,0.9121910862479978,25.37715508089904,0.005827315996163382,1631,0.9882996967124231,2099,1.5210280418395996
25,25,0.9,0.5,0.7,0.7,2,0.45515846257585973,0.41537424140256235,0.03978422117329737,0.9057531545111959,25.98076211353316,0.006107823443183669,1542,0.9877990704542527,2099,1.10316801071167
26,26,0.9,0.5,0.7,0.7999999999999999,1,0.3394181403308614,0.19737592698231604,0.14204221334854536,0.9260852887754212,24.392621835300936,0.005383933257324864,2002,0.9883331545564733,2099,1.6377439498901367
27,27,0.9,0.5,0.7,0.7999999999999999,2,0.35376532399299476,0.22533566841798014,0.1284296555750146,0.9234548513731655,24.61706725018234,0.005483468157880449,1933,0.9883426454836455,2099,1.1741619110107422
28,28,0.9,0.5,0.7,0.8999999999999999,1,0.3748064016520392,0.08363448631905007,0.29117191533298914,0.9194097243706312,26.94438717061496,0.006569303436668657,2501,0.9868808530458654,2099,1.7869257926940918
29,29,0.9,0.5,0.7,0.8999999999999999,2,0.338682899833979,0.16159380188157166,0.1770890979524073,0.9261796766037311,24.73863375370596,0.00553775992181986,2127,0.9880944719528694,2099,1.2085027694702148
30,30,0.9,0.5,0.7999999999999999,0.5,1,1.62266500622665,1.613947696139477,0.008717310087173101,0.7730529746007007,36.09709129556009,0.01179036140217529,810,0.9818287568293039,2099,1.2484710216522217
31,31,0.9,0.5,0.7999999999999999,0.5,2,1.8141711229946524,1.8061497326203209,0.008021390374331552,0.7590702723830958,36.837480912787726,0.012278987277629983,754,0.9814766616198443,2099,0.9405379295349121
32,32,0.9,0.5,0.7999999999999999,0.6,1,0.7776845637583892,0.7609060402684564,0.016778523489932886,0.8578831704759742,30.44667469527666,0.008388077528638906,1212,0.9852041672789255,2099,1.3951807022094727
33,33,0.9,0.5,0.7999999999999999,0.6,2,0.974766355140187,0.9616822429906542,0.013084112149532711,0.8337669506172287,32.29551052391029,0.009437718298134173,1084,0.9839425102692464,2099,1.0120489597320557
34,34,0.9,0.5,0.7999999999999999,0.7,1,0.41736876215165264,0.36033700583279327,0.057031756318859365,0.9121910862479978,25.37715508089904,0.005827315996163382,1631,0.9882996967124231,2099,1.5291147232055664
35,35,0.9,0.5,0.7999999999999999,0.7,2,0.45515846257585973,0.41537424140256235,0.03978422117329737,0.9057531545111959,25.98076211353316,0.006107823443183669,1542,0.9877990704542527,2099,1.1056571006774902
36,36,0.9,0.5,0.7999999999999999,0.7999999999999999,1,0.3394181403308614,0.19737592698231604,0.14204221334854536,0.9260852887754212,24.392621835300936,0.005383933257324864,2002,0.9883331545564733,2099,1.6480660438537598
37,37,0.9,0.5,0.7999999999999999,0.7999999999999999,2,0.35376532399299476,0.22533566841798014,0.1284296555750146,0.9234548513731655,24.61706725018234,0.005483468157880449,1933,0.9883426454836455,2099,1.1726429462432861
38,38,0.9,0.5,0.7999999999999999,0.8999999999999999,1,0.3748064016520392,0.08363448631905007,0.29117191533298914,0.9194097243706312,26.94438717061496,0.006569303436668657,2501,0.9868808530458654,2099,1.7755579948425293
39,39,0.9,0.5,0.7999999999999999,0.8999999999999999,2,0.338682899833979,0.16159380188157166,0.1770890979524073,0.9261796766037311,24.73863375370596,0.00553775992181986,2127,0.9880944719528694,2099,1.1980769634246826
40,40,0.9,0.5,0.8999999999999999,0.5,1,1.62266500622665,1.613947696139477,0.008717310087173101,0.7730529746007007,36.09709129556009,0.01179036140217529,810,0.9818287568293039,2099,1.2443501949310303
41,41,0.9,0.5,0.8999999999999999,0.5,2,1.8141711229946524,1.8061497326203209,0.008021390374331552,0.7590702723830958,36.837480912787726,0.012278987277629983,754,0.9814766616198443,2099,0.9414422512054443
42,42,0.9,0.5,0.8999999999999999,0.6,1,0.7776845637583892,0.7609060402684564,0.016778523489932886,0.8578831704759742,30.44667469527666,0.008388077528638906,1212,0.9852041672789255,2099,1.400852918624878
