number,value,datetime_start,datetime_complete,duration,params_BFactor,params_EFactor,params_FFactor,params_HFactor,params_fperiod,state
0,0.6549016866990326,2025-03-31 19:54:29.597280,2025-03-31 19:54:31.267761,0 days 00:00:01.670481,1.9331428849589491,0.1882996968564232,1.5133704662144931,1.7913600596939094,2,COMPLETE
1,0.743790054895299,2025-03-31 19:54:31.269176,2025-03-31 19:54:39.248040,0 days 00:00:07.978864,1.4794397378710875,0.7835092738456656,1.6024198976599662,1.695975104987616,1,COMPLETE
2,0.9284513550382495,2025-03-31 19:54:39.249685,2025-03-31 19:54:44.398136,0 days 00:00:05.148451,0.9623795829976901,0.8415462822441631,1.9547388625938071,0.9782088580535913,1,COMPLETE
3,0.8914975385925128,2025-03-31 19:54:44.399493,2025-03-31 19:54:46.982176,0 days 00:00:02.582683,1.5667868694795022,0.5425601984163413,1.0761668707828738,1.166187960246808,2,COMPLETE
4,0.6616314542732936,2025-03-31 19:54:46.983482,2025-03-31 19:54:49.891735,0 days 00:00:02.908253,0.14925310827543395,0.39393597276175096,1.0086957783648913,0.841419360137276,1,COMPLETE
5,0.9286675579572163,2025-03-31 19:54:49.893954,2025-03-31 19:54:55.285322,0 days 00:00:05.391368,1.5733648379929437,0.6131346558959226,1.055962337594906,1.2449866028325205,1,COMPLETE
6,0.8977334729993562,2025-03-31 19:54:55.287034,2025-03-31 19:55:01.053603,0 days 00:00:05.766569,0.49959318745031944,0.5468046885706495,0.5405004228624231,1.6391149787756447,1,COMPLETE
7,0.5184727293272081,2025-03-31 19:55:01.055068,2025-03-31 19:55:02.425783,0 days 00:00:01.370715,0.9832494725922782,0.11457459359366978,1.4887579420228059,1.1565244047103171,1,COMPLETE
8,0.5253913879444185,2025-03-31 19:55:02.427446,2025-03-31 19:55:03.565299,0 days 00:00:01.137853,0.7016281569084435,0.19256873152867196,1.277340186779815,0.7873031756620319,2,COMPLETE
9,0.7743739353300709,2025-03-31 19:55:03.566668,2025-03-31 19:55:05.716622,0 days 00:00:02.149954,1.3411756192152207,0.37933703942920727,1.593809973516582,1.3074795017579661,2,COMPLETE
10,0.8149892817923965,2025-03-31 19:55:05.717995,2025-03-31 19:55:09.496988,0 days 00:00:03.778993,1.969490793765059,0.9589249692725347,0.173573096079206,0.5394624183902723,1,COMPLETE
11,0.8090063310805202,2025-03-31 19:55:09.498317,2025-03-31 19:55:16.520729,0 days 00:00:07.022412,1.0599577732802303,0.7860749386200343,1.898859066894535,1.4020281149440061,1,COMPLETE
