number,value,datetime_start,datetime_complete,duration,params_BFactor,params_EFactor,params_FFactor,params_HFactor,params_fperiod,state
0,0.9255052740499277,2025-04-10 12:55:38.797473,2025-04-10 12:55:40.655023,0 days 00:00:01.857550,1.4323546603496586,0.7336795683665372,1.1581031855478419,1.0693964704558265,2,COMPLETE
1,0.9173593304961931,2025-04-10 12:55:40.656967,2025-04-10 12:55:42.363215,0 days 00:00:01.706248,1.4250725987287463,0.7424694827823631,1.0893766164603487,1.096019659111646,2,COMPLETE
2,0.8902203708293371,2025-04-10 12:55:42.365444,2025-04-10 12:55:44.733785,0 days 00:00:02.368341,1.4203247556025027,0.8233546546153067,1.1979055425749945,1.0340262345542368,1,COMPLETE
3,0.9173593304961931,2025-04-10 12:55:44.738848,2025-04-10 12:55:47.011126,0 days 00:00:02.272278,1.4598639416028167,0.7077139371871551,1.0625571557539817,1.161813989745473,2,COMPLETE
4,0.9132711918279027,2025-04-10 12:55:47.014126,2025-04-10 12:55:51.429014,0 days 00:00:04.414888,1.4611823384273683,0.7102417688095316,1.1845720159637319,1.0972858371483687,1,COMPLETE
5,0.9112730236820814,2025-04-10 12:55:51.432552,2025-04-10 12:55:54.044919,0 days 00:00:02.612367,1.315061827384202,0.7418526061942754,1.0844085220556239,1.0010470226681416,1,COMPLETE
6,0.9058960183806348,2025-04-10 12:55:54.047443,2025-04-10 12:55:56.461813,0 days 00:00:02.414370,1.3893528918172093,0.7210431141628779,1.1690459711824217,1.1486205251033443,1,COMPLETE
7,0.9167180903325303,2025-04-10 12:55:56.464729,2025-04-10 12:55:58.287347,0 days 00:00:01.822618,1.3749091818767234,0.7684984292625656,1.0652500631571673,1.0954308310290952,2,COMPLETE
8,0.9173593304961931,2025-04-10 12:55:58.291916,2025-04-10 12:56:00.015712,0 days 00:00:01.723796,1.4222491947528506,0.8017097094990557,1.1835978233575246,1.0202700781139593,2,COMPLETE
9,0.9265951396733754,2025-04-10 12:56:00.018915,2025-04-10 12:56:01.721982,0 days 00:00:01.703067,1.412215313278539,0.7130012869550177,1.0741541420990923,1.0861536840548565,2,COMPLETE
10,0.8366962502081674,2025-04-10 12:56:01.724455,2025-04-10 12:56:03.827097,0 days 00:00:02.102642,1.3494465481612403,0.8999059700327857,1.0181239637042645,1.1921618174973512,2,COMPLETE
11,0.9173593304961931,2025-04-10 12:56:03.829364,2025-04-10 12:56:05.685363,0 days 00:00:01.855999,1.4853075512862417,0.7736180014364257,1.1362712387343852,1.0569495986213502,2,COMPLETE
12,0.9255596527995751,2025-04-10 12:56:05.688315,2025-04-10 12:56:07.543483,0 days 00:00:01.855168,1.455713872430186,0.8354690313747886,1.1303321056620075,1.0587645047283907,2,COMPLETE
13,0.896790015769048,2025-04-10 12:56:07.546509,2025-04-10 12:56:09.591718,0 days 00:00:02.045209,1.4641090205692835,0.8516653122323986,1.1265201983032413,1.1290385285115334,2,COMPLETE
14,0.9060524032120367,2025-04-10 12:56:09.594483,2025-04-10 12:56:11.471090,0 days 00:00:01.876607,1.491413266904779,0.8541017532884932,1.0252527425509486,1.076769195228584,2,COMPLETE
15,0.9199131037729649,2025-04-10 12:56:11.473180,2025-04-10 12:56:13.225691,0 days 00:00:01.752511,1.3616316367677967,0.8396498653162714,1.1152626849419307,1.043891973088781,2,COMPLETE
16,0.8952236224004093,2025-04-10 12:56:13.228098,2025-04-10 12:56:15.142597,0 days 00:00:01.914499,1.399936305733389,0.8837155492237764,1.0479901236662443,1.1220025577840311,2,COMPLETE
17,0.9025233289328276,2025-04-10 12:56:15.144790,2025-04-10 12:56:19.437728,0 days 00:00:04.292938,1.4459426737090053,0.7865873228574778,1.1068592436212783,1.0620484584928853,1,COMPLETE
18,0.9103132498919173,2025-04-10 12:56:19.440052,2025-04-10 12:56:21.701059,0 days 00:00:02.261007,1.331041824899037,0.8142910468127408,1.1457579771640385,1.1216866375531496,2,COMPLETE
19,0.9259843892269111,2025-04-10 12:56:21.703388,2025-04-10 12:56:23.834723,0 days 00:00:02.131335,1.408555450152444,0.7573351032967195,1.040217980646444,1.020129939776971,2,COMPLETE
20,0.9125794449967555,2025-04-10 12:56:23.837512,2025-04-10 12:56:26.756788,0 days 00:00:02.919276,1.3884067191537504,0.7585250685671961,1.0040272670692607,1.0051590263276104,1,COMPLETE
21,0.9255052740499277,2025-04-10 12:56:26.759223,2025-04-10 12:56:29.232099,0 days 00:00:02.472876,1.4137842123948359,0.7598944267255382,1.0410541933587045,1.0333271672337658,2,COMPLETE
22,0.9161552951097912,2025-04-10 12:56:29.234621,2025-04-10 12:56:33.945430,0 days 00:00:04.710809,1.4455539220578364,0.7892754808330036,1.0749200113874533,1.0809716219934609,2,COMPLETE
23,0.9234312430463019,2025-04-10 12:56:33.951510,2025-04-10 12:56:39.244646,0 days 00:00:05.293136,1.402938216967515,0.7308080764473734,1.0992378920691286,1.0472125105748031,2,COMPLETE
24,0.9169264236905272,2025-04-10 12:56:39.252987,2025-04-10 12:56:44.352106,0 days 00:00:05.099119,1.4792199961911052,0.7026914872042402,1.045153345017461,1.0234768418034388,2,COMPLETE
25,0.9225332460083242,2025-04-10 12:56:44.356936,2025-04-10 12:56:47.218892,0 days 00:00:02.861956,1.4426718347648213,0.8334854816383883,1.1194581318106025,1.0827550233030943,2,COMPLETE
26,0.9195886632496492,2025-04-10 12:56:47.221086,2025-04-10 12:56:49.523679,0 days 00:00:02.302593,1.377185244979498,0.8685805521968127,1.0584389444618698,1.04611369505448,2,COMPLETE
27,0.9173593304961931,2025-04-10 12:56:49.525520,2025-04-10 12:56:51.791311,0 days 00:00:02.265791,1.4082764836148185,0.8115039092007497,1.032912554484019,1.0194751351581282,2,COMPLETE
28,0.9156514194519552,2025-04-10 12:56:51.793526,2025-04-10 12:56:54.645677,0 days 00:00:02.852151,1.4358135819238886,0.7515889242485106,1.0034236585598684,1.108427716503786,2,COMPLETE
29,0.9259843892269111,2025-04-10 12:56:54.648270,2025-04-10 12:56:56.623320,0 days 00:00:01.975050,1.4708380133782264,0.724115362929433,1.077483632610275,1.066313694813171,2,COMPLETE
30,0.9173593304961931,2025-04-10 12:56:56.625376,2025-04-10 12:56:58.726767,0 days 00:00:02.101391,1.4735077709163522,0.7241980712423781,1.0820777894401938,1.142267948807611,2,COMPLETE
31,0.9238409286170854,2025-04-10 12:56:58.731100,2025-04-10 12:57:02.055016,0 days 00:00:03.323916,1.4539714266980248,0.7199796926968685,1.1009109277632734,1.0640192247678943,2,COMPLETE
32,0.9235321928000165,2025-04-10 12:57:02.057778,2025-04-10 12:57:06.084207,0 days 00:00:04.026429,1.4971662154466203,0.7358309692410631,1.072110714404213,1.0745962319533098,2,COMPLETE
33,0.9255052740499277,2025-04-10 12:57:06.088243,2025-04-10 12:57:08.334624,0 days 00:00:02.246381,1.4273338640094178,0.7485782639001604,1.089925805189627,1.0495500698252551,2,COMPLETE
34,0.9265951396733754,2025-04-10 12:57:08.337440,2025-04-10 12:57:11.653379,0 days 00:00:03.315939,1.4705509706414377,0.7110400723440589,1.0528890965807416,1.0893420703152958,2,COMPLETE
35,0.9235321928000165,2025-04-10 12:57:11.657181,2025-04-10 12:57:13.712116,0 days 00:00:02.054935,1.4717971975289308,0.7144464757812445,1.0541284662623551,1.10764606016094,2,COMPLETE
36,0.9235321928000165,2025-04-10 12:57:13.715037,2025-04-10 12:57:15.646207,0 days 00:00:01.931170,1.4327209265858856,0.732698323646191,1.0330508040356579,1.086003004546153,2,COMPLETE
37,0.9152644441536751,2025-04-10 12:57:15.649862,2025-04-10 12:57:18.037832,0 days 00:00:02.387970,1.4196935710667362,0.7006283546862659,1.0679851213014637,1.0974411191922695,1,COMPLETE
38,0.9235321928000165,2025-04-10 12:57:18.039872,2025-04-10 12:57:19.830109,0 days 00:00:01.790237,1.3911566077926596,0.7120851604605882,1.0155412161731976,1.110967355073145,2,COMPLETE
39,0.9072319073023625,2025-04-10 12:57:19.832809,2025-04-10 12:57:22.163308,0 days 00:00:02.330499,1.3550955004313805,0.7401758926915993,1.0894849295990827,1.0907247713075192,1,COMPLETE
40,0.9189580707123894,2025-04-10 12:57:22.165518,2025-04-10 12:57:23.909222,0 days 00:00:01.743704,1.3045260055154195,0.7249628138323723,1.0545543471202445,1.030134129293851,2,COMPLETE
41,0.9213741348693197,2025-04-10 12:57:23.911352,2025-04-10 12:57:25.819985,0 days 00:00:01.908633,1.4590203303088614,0.710683486538958,1.0809516768826979,1.0703877012044722,2,COMPLETE
42,0.9234271256466124,2025-04-10 12:57:25.823849,2025-04-10 12:57:27.984188,0 days 00:00:02.160339,1.4663311809433728,0.7817493479869293,1.1558231426222783,1.007885181896394,2,COMPLETE
43,0.9252071682727045,2025-04-10 12:57:27.987586,2025-04-10 12:57:29.979000,0 days 00:00:01.991414,1.481166780800108,0.7464842968123439,1.0631696627081784,1.054274031457596,2,COMPLETE
44,0.9173593304961931,2025-04-10 12:57:29.981356,2025-04-10 12:57:31.894200,0 days 00:00:01.912844,1.4544888762641717,0.7699139119664494,1.0334202088719275,1.0637763941898666,2,COMPLETE
45,0.9189580707123894,2025-04-10 12:57:31.896985,2025-04-10 12:57:33.694105,0 days 00:00:01.797120,1.4891520497201163,0.7185089385526199,1.0739376478692377,1.0390128870433355,2,COMPLETE
46,0.9255052740499277,2025-04-10 12:57:33.697121,2025-04-10 12:57:37.449866,0 days 00:00:03.752745,1.4407230696421087,0.730909586987923,1.1349462291554469,1.0720090409338279,2,COMPLETE
47,0.9006043079485369,2025-04-10 12:57:37.468520,2025-04-10 12:57:40.411723,0 days 00:00:02.943203,1.4974873502330701,0.79795398238222,1.1689901573071786,1.1822638545919495,2,COMPLETE
48,0.9239478053281642,2025-04-10 12:57:40.415774,2025-04-10 12:57:42.383690,0 days 00:00:01.967916,1.3730974393930109,0.7060597810569824,1.0960241811959806,1.089430975590763,2,COMPLETE
49,0.9153681021796563,2025-04-10 12:57:42.386129,2025-04-10 12:57:44.813221,0 days 00:00:02.427092,1.45056567523495,0.757859248443024,1.1093716083317864,1.1010243615527826,2,COMPLETE
50,0.8899861024426918,2025-04-10 12:57:44.817508,2025-04-10 12:57:47.816490,0 days 00:00:02.998982,1.4193058209009661,0.8318911010822182,1.0490104098335067,1.0557545561349844,1,COMPLETE
51,0.9234271256466124,2025-04-10 12:57:47.819634,2025-04-10 12:57:50.113500,0 days 00:00:02.293866,1.4282451077791758,0.7395316446782881,1.1907492104019002,1.064465276439421,2,COMPLETE
52,0.9251038270145759,2025-04-10 12:57:50.116982,2025-04-10 12:57:52.146651,0 days 00:00:02.029669,1.4693530537338886,0.7256642324499015,1.1550803086848853,1.076914987817847,2,COMPLETE
53,0.9164881680520149,2025-04-10 12:57:52.149565,2025-04-10 12:57:54.059406,0 days 00:00:01.909841,1.4126001801260346,0.8573442740611635,1.1721200365987319,1.0114564627723708,2,COMPLETE
54,0.9166233900167788,2025-04-10 12:57:54.087062,2025-04-10 12:57:56.241472,0 days 00:00:02.154410,1.4607657006001016,0.7134649780484081,1.1345859075687128,1.0379605078576413,2,COMPLETE
55,0.9103132498919173,2025-04-10 12:57:56.244516,2025-04-10 12:57:58.832887,0 days 00:00:02.588371,1.4351785629057068,0.8176848171395503,1.1266900036540497,1.1169237555827929,2,COMPLETE
56,0.9220616314489161,2025-04-10 12:57:58.835304,2025-04-10 12:58:01.111541,0 days 00:00:02.276237,1.3981149921738367,0.7055371229808458,1.1439070918111698,1.1313476841021692,2,COMPLETE
57,0.9220616314489161,2025-04-10 12:58:01.114935,2025-04-10 12:58:03.396846,0 days 00:00:02.281911,1.4799051283345774,0.7288218790587426,1.0399816231347652,1.0959559719661334,2,COMPLETE
58,0.9173593304961931,2025-04-10 12:58:03.398784,2025-04-10 12:58:05.461473,0 days 00:00:02.062689,1.4058205967593826,0.7653996611378648,1.0619339562587187,1.0815989467143994,2,COMPLETE
59,0.9208889780216776,2025-04-10 12:58:05.463574,2025-04-10 12:58:07.354712,0 days 00:00:01.891138,1.3939868268785705,0.8837733614805248,1.0784121568221952,1.0256028612371486,2,COMPLETE
60,0.9175341043560532,2025-04-10 12:58:07.357858,2025-04-10 12:58:09.201272,0 days 00:00:01.843414,1.4477802517530773,0.7545455544847991,1.015878905997473,1.0683852436680727,2,COMPLETE
61,0.9235321928000165,2025-04-10 12:58:09.203515,2025-04-10 12:58:11.061039,0 days 00:00:01.857524,1.4132650594999139,0.7809695204066786,1.0441037556836432,1.0141947152181088,2,COMPLETE
62,0.9265951396733754,2025-04-10 12:58:11.063895,2025-04-10 12:58:13.766001,0 days 00:00:02.702106,1.4098781057617753,0.7442520888427618,1.0399440223471499,1.0412905079109696,2,COMPLETE
