,Instance,$\delta$ norm,MSE,F1,SSIM,R2,AreaCell2FireML,AreaFarsite,cell2fireml_runtime
0,sherpa_1H,14.142,0.002,0.704,0.995,0.91,269,69,0.6778538227081299
1,sherpa_2H,24.495,0.005,0.77,0.987,0.856,954,360,0.7849898338317871
2,sherpa_3H,24.839,0.006,0.847,0.986,0.767,1320,717,0.9919836521148682
3,sherpa_4H,31.67,0.009,0.857,0.978,0.787,2267,1300,1.2328526973724365
4,sherpa_5H,38.0,0.013,0.867,0.97,0.738,3483,2099,1.559058666229248
5,sherpa_6H,45.629,0.019,0.864,0.96,0.64,4972,2994,1.9245734214782715
6,sherpa_7H,55.507,0.028,0.848,0.946,0.639,6776,3869,2.2968788146972656
7,sherpa_8H,61.433,0.034,0.856,0.934,0.674,8775,5231,2.740945339202881
8,sherpa_9H,66.023,0.039,0.867,0.922,0.63,10916,6871,2.9767677783966064
9,sherpa_10H,70.399,0.045,0.873,0.914,0.627,13166,8546,4.025829553604126
