Instance,AreaCell2Fire,FTYPE,WS,FTYPE-WS,LENGTH,RES,NCELLS
f101_100_ws10_CS100_ISO_1HR,4,f101,10,f101-10,1HR,100,10000
f101_100_ws10_CS100_ISO_2HR,19,f101,10,f101-10,2HR,100,10000
f101_100_ws10_CS100_ISO_3HR,53,f101,10,f101-10,3HR,100,10000
f101_100_ws10_CS100_ISO_4HR,98,f101,10,f101-10,4HR,100,10000
f101_100_ws10_CS100_ISO_5HR,175,f101,10,f101-10,5HR,100,10000
f101_100_ws20_CS100_ISO_1HR,24,f101,20,f101-20,1HR,100,10000
f101_100_ws20_CS100_ISO_2HR,116,f101,20,f101-20,2HR,100,10000
f101_100_ws20_CS100_ISO_3HR,302,f101,20,f101-20,3HR,100,10000
f101_100_ws20_CS100_ISO_4HR,552,f101,20,f101-20,4HR,100,10000
f101_100_ws20_CS100_ISO_5HR,899,f101,20,f101-20,5HR,100,10000
f101_100_ws30_CS500_ISO_1HR,60,f101,30,f101-30,1HR,100,250000
f101_100_ws30_CS500_ISO_2HR,312,f101,30,f101-30,2HR,100,250000
f101_100_ws30_CS500_ISO_3HR,745,f101,30,f101-30,3HR,100,250000
f101_100_ws30_CS500_ISO_4HR,1360,f101,30,f101-30,4HR,100,250000
f101_100_ws30_CS500_ISO_5HR,2164,f101,30,f101-30,5HR,100,250000
f101_100_ws40_CS500_ISO_1HR,97,f101,40,f101-40,1HR,100,250000
f101_100_ws40_CS500_ISO_2HR,444,f101,40,f101-40,2HR,100,250000
f101_100_ws40_CS500_ISO_3HR,999,f101,40,f101-40,3HR,100,250000
f101_100_ws40_CS500_ISO_4HR,1879,f101,40,f101-40,4HR,100,250000
f101_100_ws40_CS500_ISO_5HR,2877,f101,40,f101-40,5HR,100,250000
f101_100_ws50_CS500_ISO_1HR,206,f101,50,f101-50,1HR,100,250000
f101_100_ws50_CS500_ISO_2HR,933,f101,50,f101-50,2HR,100,250000
f101_100_ws50_CS500_ISO_3HR,2168,f101,50,f101-50,3HR,100,250000
f101_100_ws50_CS500_ISO_4HR,3816,f101,50,f101-50,4HR,100,250000
f101_100_ws50_CS500_ISO_5HR,6097,f101,50,f101-50,5HR,100,250000
f101_100_ws60_CS500_ISO_1HR,206,f101,60,f101-60,1HR,100,250000
f101_100_ws60_CS500_ISO_2HR,820,f101,60,f101-60,2HR,100,250000
f101_100_ws60_CS500_ISO_3HR,2049,f101,60,f101-60,3HR,100,250000
f101_100_ws60_CS500_ISO_4HR,3566,f101,60,f101-60,4HR,100,250000
f101_100_ws60_CS500_ISO_5HR,5829,f101,60,f101-60,5HR,100,250000
f165_100_ws10_CS100_ISO_1HR,1,f165,10,f165-10,1HR,100,10000
f165_100_ws10_CS100_ISO_2HR,6,f165,10,f165-10,2HR,100,10000
f165_100_ws10_CS100_ISO_3HR,18,f165,10,f165-10,3HR,100,10000
f165_100_ws10_CS100_ISO_4HR,32,f165,10,f165-10,4HR,100,10000
f165_100_ws10_CS100_ISO_5HR,60,f165,10,f165-10,5HR,100,10000
f165_100_ws20_CS100_ISO_1HR,4,f165,20,f165-20,1HR,100,10000
f165_100_ws20_CS100_ISO_2HR,21,f165,20,f165-20,2HR,100,10000
f165_100_ws20_CS100_ISO_3HR,55,f165,20,f165-20,3HR,100,10000
f165_100_ws20_CS100_ISO_4HR,110,f165,20,f165-20,4HR,100,10000
f165_100_ws20_CS100_ISO_5HR,189,f165,20,f165-20,5HR,100,10000
f165_100_ws30_CS100_ISO_1HR,5,f165,30,f165-30,1HR,100,10000
f165_100_ws30_CS100_ISO_2HR,33,f165,30,f165-30,2HR,100,10000
f165_100_ws30_CS100_ISO_3HR,94,f165,30,f165-30,3HR,100,10000
f165_100_ws30_CS100_ISO_4HR,186,f165,30,f165-30,4HR,100,10000
f165_100_ws30_CS100_ISO_5HR,301,f165,30,f165-30,5HR,100,10000
f165_100_ws40_CS100_ISO_1HR,7,f165,40,f165-40,1HR,100,10000
f165_100_ws40_CS100_ISO_2HR,43,f165,40,f165-40,2HR,100,10000
f165_100_ws40_CS100_ISO_3HR,116,f165,40,f165-40,3HR,100,10000
f165_100_ws40_CS100_ISO_4HR,244,f165,40,f165-40,4HR,100,10000
f165_100_ws40_CS100_ISO_5HR,395,f165,40,f165-40,5HR,100,10000
f165_100_ws50_CS100_ISO_1HR,10,f165,50,f165-50,1HR,100,10000
f165_100_ws50_CS100_ISO_2HR,53,f165,50,f165-50,2HR,100,10000
f165_100_ws50_CS100_ISO_3HR,124,f165,50,f165-50,3HR,100,10000
f165_100_ws50_CS100_ISO_4HR,205,f165,50,f165-50,4HR,100,10000
f165_100_ws50_CS100_ISO_5HR,353,f165,50,f165-50,5HR,100,10000
f165_100_ws60_CS100_ISO_1HR,13,f165,60,f165-60,1HR,100,10000
f165_100_ws60_CS100_ISO_2HR,75,f165,60,f165-60,2HR,100,10000
f165_100_ws60_CS100_ISO_3HR,186,f165,60,f165-60,3HR,100,10000
f165_100_ws60_CS100_ISO_4HR,349,f165,60,f165-60,4HR,100,10000
f165_100_ws60_CS100_ISO_5HR,568,f165,60,f165-60,5HR,100,10000
