,Instance,HFactor,BFactor,FFactor,EFactor,fperiod,ADI,ADI_ue,ADIoe,F1,norm,MSE,area_c2f,SSIM,area_ref,time
0,0,0.0,0.0,2.5,2.5,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.6419649124145508
1,1,0.0,0.0,2.5,2.5,0.2,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5470719337463379
2,2,0.0,0.0,2.5,2.5,0.30000000000000004,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5398812294006348
3,3,0.0,0.0,2.5,2.5,0.4,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5449380874633789
4,4,0.0,0.0,2.5,2.6,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5381870269775391
5,5,0.0,0.0,2.5,2.6,0.2,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5431900024414062
6,6,0.0,0.0,2.5,2.6,0.30000000000000004,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5470890998840332
7,7,0.0,0.0,2.5,2.6,0.4,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.55194091796875
8,8,0.0,0.0,2.5,2.7,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5535640716552734
9,9,0.0,0.0,2.5,2.7,0.2,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5510179996490479
10,10,0.0,0.0,2.5,2.7,0.30000000000000004,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5429449081420898
11,11,0.0,0.0,2.5,2.7,0.4,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5433878898620605
12,12,0.0,0.0,2.5,2.8000000000000003,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5481939315795898
13,13,0.0,0.0,2.5,2.8000000000000003,0.2,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5466659069061279
14,14,0.0,0.0,2.5,2.8000000000000003,0.30000000000000004,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5585029125213623
15,15,0.0,0.0,2.5,2.8000000000000003,0.4,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5480990409851074
16,16,0.0,0.0,2.5,2.9000000000000004,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5468540191650391
17,17,0.0,0.0,2.5,2.9000000000000004,0.2,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5432500839233398
18,18,0.0,0.0,2.5,2.9000000000000004,0.30000000000000004,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5381650924682617
19,19,0.0,0.0,2.5,2.9000000000000004,0.4,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5403218269348145
20,20,0.0,0.0,2.6,2.5,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5503091812133789
21,21,0.0,0.0,2.6,2.5,0.2,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5414128303527832
22,22,0.0,0.0,2.6,2.5,0.30000000000000004,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5418939590454102
23,23,0.0,0.0,2.6,2.5,0.4,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5520341396331787
24,24,0.0,0.0,2.6,2.6,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5425920486450195
25,25,0.0,0.0,2.6,2.6,0.2,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5502068996429443
26,26,0.0,0.0,2.6,2.6,0.30000000000000004,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5499510765075684
27,27,0.0,0.0,2.6,2.6,0.4,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5366220474243164
28,28,0.0,0.0,2.6,2.7,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5386672019958496
29,29,0.0,0.0,2.6,2.7,0.2,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5516889095306396
30,30,0.0,0.0,2.6,2.7,0.30000000000000004,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5364189147949219
31,31,0.0,0.0,2.6,2.7,0.4,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.533087968826294
32,32,0.0,0.0,2.6,2.8000000000000003,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5382080078125
33,33,0.0,0.0,2.6,2.8000000000000003,0.2,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5370450019836426
34,34,0.0,0.0,2.6,2.8000000000000003,0.30000000000000004,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5398459434509277
35,35,0.0,0.0,2.6,2.8000000000000003,0.4,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5437929630279541
36,36,0.0,0.0,2.6,2.9000000000000004,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5402488708496094
37,37,0.0,0.0,2.6,2.9000000000000004,0.2,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5814769268035889
