,Instance,HFactor,BFactor,FFactor,EFactor,fperiod,ADI,ADI_ue,ADIoe,F1,norm,MSE,area_c2f,SSIM,area_ref,time
0,0,0.5,2.0,2.5,2.5,0.1,63.721518987341774,63.620253164556964,0.10126582278481013,0.4813937086663195,100.33942395688746,0.1264649357500848,174,0.8496731517915791,10210,0.7099740505218506
1,1,0.5,2.0,2.5,2.5,0.2,9.89579524680073,8.3327239488117,1.563071297989031,0.5470407184858046,104.04806581575652,0.13598623305824573,2804,0.8310124145372716,10210,1.0081112384796143
2,2,0.5,2.0,2.5,2.5,0.30000000000000004,8.680592991913747,5.880053908355795,2.8005390835579513,0.5487026702766384,113.49889867307083,0.16181180992576402,5640,0.7997716813374357,10210,1.642240047454834
3,3,0.5,2.0,2.5,2.5,0.4,7.23404255319149,4.298391281785158,2.935651271406331,0.5590119034694047,118.06777714516353,0.17510143070681186,7584,0.7795991498448791,10210,2.2669239044189453
4,4,0.5,2.0,2.5,2.6,0.1,58.80701754385965,58.707602339181285,0.09941520467836257,0.4826605968752318,100.2796090937734,0.1263142028111693,188,0.8497668474881345,10210,0.7201688289642334
5,5,0.5,2.0,2.5,2.6,0.2,9.768336314847943,8.132379248658319,1.6359570661896243,0.5475897368654656,104.50358845513392,0.13717953549132658,2947,0.8295962996302582,10210,1.040313959121704
6,6,0.5,2.0,2.5,2.6,0.30000000000000004,8.561103810775295,5.708278580814717,2.8528252299605783,0.5491747354085477,114.14902540100813,0.16367084950572158,5864,0.7976191650993775,10210,1.7406039237976074
7,7,0.5,2.0,2.5,2.6,0.4,7.0174825174825175,4.0999000999001,2.9175824175824174,0.5611361878989,118.52847759083046,0.17647058823529413,7843,0.7770161845939697,10210,2.133481979370117
8,8,0.5,2.0,2.5,2.7,0.1,53.994623655913976,53.89247311827957,0.10215053763440861,0.48411380510109947,100.21476937058729,0.1261509087940109,205,0.8498496605295369,10210,0.5730879306793213
9,9,0.5,2.0,2.5,2.7,0.2,9.712028094820017,7.9640035118525025,1.7480245829675154,0.5474681042144369,105.17604289951205,0.13895064752358344,3130,0.8272553200728979,10210,1.0383110046386719
10,10,0.5,2.0,2.5,2.7,0.30000000000000004,8.33248730964467,5.478426395939087,2.8540609137055837,0.550846117191995,114.5949388062143,0.16495207948650312,6074,0.7955003963811543,10210,1.6476647853851318
11,11,0.5,2.0,2.5,2.7,0.4,6.722513089005235,3.859590671108996,2.86292241789624,0.5645237824859674,118.84443613396463,0.17741266910351586,8116,0.7747891707315798,10210,2.2296299934387207
12,12,0.5,2.0,2.5,2.8000000000000003,0.1,51.47179487179487,51.35897435897436,0.11282051282051282,0.48497383634850877,100.18482919085105,0.12607554232455315,217,0.8498431273359043,10210,0.5670931339263916
13,13,0.5,2.0,2.5,2.8000000000000003,0.2,9.615120274914089,7.7714776632302405,1.8436426116838487,0.5476875147368557,105.79224924350555,0.14058358769516777,3310,0.8254947950091437,10210,1.068953275680542
14,14,0.5,2.0,2.5,2.8000000000000003,0.30000000000000004,8.07921998781231,5.221815965874467,2.857404021937843,0.5527540666913258,115.14338886796757,0.16653477534511563,6330,0.7928813779269009,10210,1.718324899673462
15,15,0.5,2.0,2.5,2.8000000000000003,0.4,6.489981785063752,3.6493624772313296,2.8406193078324224,0.5670951631149797,119.3817406473871,0.17902048711861426,8434,0.7719302833946182,10210,2.3523666858673096
16,16,0.5,2.0,2.5,2.9000000000000004,0.1,48.43961352657005,48.32367149758454,0.11594202898550725,0.48612850811942804,100.13490899781155,0.12594993154212358,231,0.8499215142357911,10210,0.5899169445037842
17,17,0.5,2.0,2.5,2.9000000000000004,0.2,9.638297872340425,7.68936170212766,1.9489361702127659,0.5470182590145435,106.41898326896381,0.14225421110148095,3465,0.8236596791053117,10210,1.1358067989349365
18,18,0.5,2.0,2.5,2.9000000000000004,0.30000000000000004,7.83049853372434,4.988269794721408,2.8422287390029326,0.5548658023472671,115.54652742510265,0.16770295562171056,6551,0.791005972565856,10210,1.9423799514770508
19,19,0.5,2.0,2.5,2.9000000000000004,0.4,6.309377738825591,3.474145486415425,2.8352322524101665,0.5690198464126764,119.99166637729472,0.1808544045420859,8752,0.7689552330600345,10210,2.4832167625427246
20,20,0.5,2.0,2.6,2.5,0.1,63.320754716981135,63.21383647798742,0.1069182389937107,0.48148660759428463,100.33942395688746,0.1264649357500848,176,0.8496748675076811,10210,0.5826239585876465
21,21,0.5,2.0,2.6,2.5,0.2,9.591068301225919,7.940455341506129,1.6506129597197898,0.5487591966076214,104.65658125507444,0.13758148999510117,3027,0.8290418790845622,10210,1.133782148361206
22,22,0.5,2.0,2.6,2.5,0.30000000000000004,8.271581600504096,5.4335223692501575,2.838059231253938,0.551432018445512,114.57312075700827,0.16488927409528834,6091,0.7953582649749965,10210,1.7457599639892578
23,23,0.5,2.0,2.6,2.5,0.4,6.726840855106889,3.8503562945368173,2.8764845605700713,0.564323476874486,118.99579824514814,0.17786486792026227,8160,0.7741226987223596,10210,2.3276171684265137
24,24,0.5,2.0,2.6,2.6,0.1,60.25748502994012,60.137724550898206,0.11976047904191617,0.4822541617199175,100.31450543166726,0.12640213035887002,187,0.8496823036815798,10210,0.5942909717559814
25,25,0.5,2.0,2.6,2.6,0.2,9.54130808950086,7.7865748709122204,1.7547332185886402,0.5486268975048804,105.29482418428742,0.13926467447965735,3201,0.8268255602646978,10210,1.0709660053253174
26,26,0.5,2.0,2.6,2.6,0.30000000000000004,7.957907396271798,5.139506915213469,2.8184004810583283,0.5540403470125699,115.03912377969506,0.16623330946728468,6350,0.7929673317683255,10210,1.6689321994781494
27,27,0.5,2.0,2.6,2.6,0.4,6.427031881454872,3.5846430175123483,2.8423888639425234,0.5677134807692127,119.63695081370136,0.1797867128914346,8557,0.7706666821393517,10210,2.2886128425598145
28,28,0.5,2.0,2.6,2.7,0.1,55.52486187845304,55.408839779005525,0.11602209944751381,0.48361589599425003,100.2496882788171,0.12623883634171157,202,0.849807103615527,10210,0.5703587532043457
29,29,0.5,2.0,2.6,2.7,0.2,9.526271186440677,7.6525423728813555,1.873728813559322,0.5481615582703827,106.02358228243375,0.14119908052907262,3391,0.8244194278185386,10210,1.0676722526550293
30,30,0.5,2.0,2.6,2.7,0.30000000000000004,7.660560961648541,4.844304522037779,2.816256439610761,0.5565046302774792,115.68491690795304,0.16810491012548517,6667,0.7900944768417862,10210,1.745939016342163
31,31,0.5,2.0,2.6,2.7,0.4,6.278716948417859,3.425661031642826,2.8530559167750327,0.569104932114206,120.3536455617361,0.1819472183492231,8889,0.7674401010080053,10210,2.4699437618255615
32,32,0.5,2.0,2.6,2.8000000000000003,0.1,51.48205128205128,51.35897435897436,0.12307692307692308,0.48496307582108217,100.19481024484253,0.12610066448103904,219,0.849834330494701,10210,0.591214656829834
33,33,0.5,2.0,2.6,2.8000000000000003,0.2,9.522462562396006,7.494176372712146,2.02828618968386,0.5474190372892211,106.98598038995577,0.14377410156887868,3640,0.8219287633961735,10210,1.1050078868865967
34,34,0.5,2.0,2.6,2.8000000000000003,0.30000000000000004,7.36775956284153,4.579234972677596,2.7885245901639344,0.5593001559691638,116.11632098891181,0.1693610179497808,6933,0.788137173474662,10210,1.8771090507507324
35,35,0.5,2.0,2.6,2.8000000000000003,0.4,6.174863387978142,3.2917192097519967,2.8831441782261455,0.5697770882086277,121.2023102090055,0.18452223938902915,9238,0.7634774511043185,10210,2.484973192214966
36,36,0.5,2.0,2.6,2.9000000000000004,0.1,47.99043062200957,47.85167464114833,0.13875598086124402,0.48629498150797024,100.14988766843426,0.12598761477685244,238,0.8498284199529006,10210,0.58980393409729
37,37,0.5,2.0,2.6,2.9000000000000004,0.2,9.478688524590163,7.368852459016393,2.1098360655737705,0.5473019655240899,107.53604047016051,0.14525630880154752,3794,0.819961039317589,10210,1.1720671653747559
38,38,0.5,2.0,2.6,2.9000000000000004,0.30000000000000004,7.255591054313099,4.4366347177848775,2.8189563365282213,0.5600098079756934,116.73045875006231,0.17115725213852356,7172,0.7854709155156469,10210,1.8178179264068604
39,39,0.5,2.0,2.6,2.9000000000000004,0.4,6.135390946502057,3.2016460905349793,2.933744855967078,0.5694644367879802,122.10241602851272,0.1872731155242366,9559,0.7597106417952464,10210,2.5381109714508057
40,40,0.5,2.0,2.7,2.5,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5501809120178223
41,41,0.5,2.0,2.7,2.5,0.2,12.790726817042607,11.794486215538846,0.9962406015037594,0.5329909185609253,101.02969860392537,0.12821092562585573,1593,0.8420094605683592,10210,0.6793270111083984
42,42,0.5,2.0,2.7,2.5,0.30000000000000004,8.92967032967033,6.47985347985348,2.44981684981685,0.5492600187788553,110.40380428228005,0.15310698270339526,4709,0.8098670042500198,10210,1.221374273300171
43,43,0.5,2.0,2.7,2.5,0.4,7.450650759219089,4.536876355748373,2.913774403470716,0.5573661179650179,117.21348045340177,0.17257665397997765,7217,0.7842291199531795,10210,1.760937213897705
44,44,0.5,2.0,2.7,2.6,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5481870174407959
45,45,0.5,2.0,2.7,2.6,0.2,12.44228432563791,11.405832320777643,1.0364520048602672,0.5344906217580891,101.19288512538814,0.12862544120787328,1676,0.8414274472194353,10210,0.688960075378418
46,46,0.5,2.0,2.7,2.6,0.30000000000000004,8.81294452347084,6.261735419630156,2.551209103840683,0.5494631175372265,111.31486872830601,0.15564432050847243,4993,0.807205501334906,10210,1.2663538455963135
47,47,0.5,2.0,2.7,2.6,0.4,7.197197716658017,4.298391281785158,2.8988064348728595,0.5597213570442237,117.76671855834313,0.17420959415156198,7513,0.7812656894506509,10210,1.904951810836792
48,48,0.5,2.0,2.7,2.7,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5546050071716309
49,49,0.5,2.0,2.7,2.7,0.2,11.956876456876456,10.8997668997669,1.057109557109557,0.5368132454871498,101.28672173587218,0.12886410169448945,1765,0.8408541644529872,10210,0.7054016590118408
50,50,0.5,2.0,2.7,2.7,0.30000000000000004,8.662517289073305,6.060857538035961,2.6016597510373445,0.5502341482083654,111.91961400934154,0.15734006607127154,5208,0.8050828788889856,10210,1.416167974472046
51,51,0.5,2.0,2.7,2.7,0.4,7.0160320641282565,4.115230460921843,2.900801603206413,0.5613334306951401,118.33849753989612,0.1759053397143611,7786,0.7782810602108925,10210,1.9876959323883057
52,52,0.5,2.0,2.7,2.8000000000000003,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5759291648864746
53,53,0.5,2.0,2.7,2.8000000000000003,0.2,11.704545454545455,10.602272727272727,1.1022727272727273,0.5379730436846901,101.4889156509222,0.12937910590245066,1850,0.8399583018635602,10210,0.7274489402770996
54,54,0.5,2.0,2.7,2.8000000000000003,0.30000000000000004,8.562753036437247,5.889338731443995,2.673414304993252,0.5504772029772722,112.64990013311153,0.1594000829031164,5444,0.8029005284446524,10210,1.3401522636413574
55,55,0.5,2.0,2.7,2.8000000000000003,0.4,6.769304556354916,3.8968824940047964,2.87242206235012,0.5639624654825793,118.80235687897779,0.1772870583210863,8074,0.7755643214183552,10210,2.0362050533294678
56,56,0.5,2.0,2.7,2.9000000000000004,0.1,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.5597000122070312
57,57,0.5,2.0,2.7,2.9000000000000004,0.2,11.342105263157896,10.195175438596491,1.1469298245614035,0.5397799367345877,101.70545708072896,0.12993179334514074,1958,0.838991510427334,10210,0.7618591785430908
58,58,0.5,2.0,2.7,2.9000000000000004,0.30000000000000004,8.549435965494359,5.775049767750498,2.774386197743862,0.5498446848751495,113.50770898930169,0.16183693208224995,5688,0.8000156565719388,10210,1.3402562141418457
59,59,0.5,2.0,2.7,2.9000000000000004,0.4,6.570435588507878,3.731232622798888,2.83920296570899,0.5663025022229744,119.07560623402259,0.17810352840687846,8285,0.7735980696393333,10210,2.1377391815185547
